StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,initial_screen_trans,consent,message_nonqualif,instructions ,PID,imp_family_1,imp_friends_1,imp_leisure_1,imp_pol_1,imp_wrk_1,imp_rel_1,child_qualities_1,neigh_race_1,neigh_drink_1,neigh_imm_1,neigh_aids_1,neigh_drug_1,neigh_gay_1,trust_1,life_satisf_1,choice_control_1,scarce_jobs_women_1,scarce_jobs_imm_1,housewife_fulfill_1,left_right_1,equal_incomes_1,private_public_busi_1,gvt_responsibility_1,comp_good_bad_1,conf_church_1,conf_armed_1,conf_press_1,conf_unions_1,conf_police_1,conf_parliament_1,conf_civil_1,conf_tv_1,conf_gvt_1,conf_pol_prt_1,conf_companies_1,conf_courts_1,rel_services_1,religiosity_1,belief_god_1,belief_hell_1,imp_god_1,just_gvt_benefits_1,just_public_trans_1,just_cheat_tax_1,just_bribe_1,just_homo_1,just_prst_1,just_abort_1,just_divorce_1,just_euth_1,just_suicide_1,att1_1,att2_1,att3_1,proud_1,end_message,random_id,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Welcome! Bienvenido! Bienvenue! ようこそ ! Welkom ! Välkommen ! 

Before we begin, we want to let you know that you can use the grey box on the top corner to translate any question into your preferred language. Try it! 

Antes de empezar, queremos informarte que puedes usar el recuadro gris en la esquina superior para traducir cualquier pregunta a tu idioma preferido. ¡Inténtalo!
Avant de commencer, nous voulons vous informer que vous pouvez utiliser la boîte grise dans le coin supérieur pour traduire n'importe quelle question dans votre langue préférée. Essayez !
始める前に、お知らせしたいことがあります。右上の灰色のボックスを使って、どんな質問でも好きな言語に翻訳できるようになっています。試してみてくださいね！
Voordat ons begin, wil ons jou laat weet dat jy die grys boks in die boonste hoek kan gebruik om enige vraag na jou voorkeurtaal te vertaal. Probeer dit gerus!
Innan vi börjar vill vi informera dig om att du kan använda den grå rutan i det övre hörnet för att översätta vilken fråga som helst till ditt föredragna språk. Prova på det!","Thank you for participating!  
This research project aims to study how comfortable different people feel about discussing certain questions. We will present you with certain questions that have been used in surveys in the past, and will ask you to tell us how comfortable you think most people from your country would feel with talking about those questions. The entire study should take approximately 15 minutes. 

Key Information:  
Your participation is entirely voluntary, and you may withdraw at any point. However, you must answer all questions, perform all tasks, and proceed to the final screen of the study in order to be compensated. For successful participation in the study, you will receive $2.50, paid by transfer to your Prolific account. 
We will adhere, at all times, to strict standards of confidentiality. Information obtained through your participation will be accessible only to the research team. Your name will not be attached to the data in any way. Although the data collected may be made public or used for future research, your identity will always remain confidential.  
You must be in the country specified during recruitment to qualify to participate in this study. If you are not, you will be redirected to the end of the survey after this page. Further, in accordance to Prolific policies, we may reject your work if the task was not completed correctly or the instructions were not followed.  
The questions that you will evaluate cover a range of topics, from childrearing to substance abuse. We will not ask you about your experiences or your opinion, but rather about how most people in your country would feel about discussing these topics. However, there is a risk that some questions might reference potentially sensitive topics. If this is in any way distressing, please feel free to abstain from participation. There are no direct benefits for participating in this research.  
If you have any questions you may contact us by email at sensitivityaroundtheglobe@gmail.com. If you have questions about your rights as a research subject, contact Duke University’s Campus Institutional Review Board at campusirb@duke.edu or at 919-684-3030 referencing protocol #2024-0223.  
By clicking “I agree to participate”, you indicate that you understand the study description above, that you understand the qualifications necessary to participate in this study, that you will follow the instructions, and that you agree to participate. You may save and/or print this form.","Unfortunately, you do not qualify for participation in this study. You have either indicated that you do not consent to participating in this study or your IP address does not match the locations to which the project is restricted. 
If you think this is an error, please feel free to reach out to us at sensitivityaroundtheglobe@gmail.com","Welcome, and thank you for deciding to take part in the study! Before you begin, please read the following instructions carefully:
In our everyday lives, there are topics we find easier or more difficult to discuss with others. In this project we will present you with a series of questions and you will tell us how difficult you think it would be for most people from your country to talk about these issues. Bear in mind we are not asking you about your comfort with discussing the topics. We instead want you to think about what most people in your country would feel like discussing those questions. 
Throughout the questions, you will be shown some active participation checks. They will consist of simple math operations – like 2+1 – that will help us know you are completing the task carefully. 
Please remember to read all questions and instructions carefully so that you respond to all participation checks correctly. Failing to do so will result in loss of payment.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether family is very important in your life, not important at all in your life, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether friends are very important in your life, not important at all in your life, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether leisure is very important in your life, not important at all in your life, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether politics are very important in your life, not important at all in your life, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether work is very important in your life, not important at all in your life, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether religion is very important in your life, not important at all in your life, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""There are many qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Would you rather not have people of a different race as neighbors?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Would you rather not have heavy drinkers as neighbors?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Would you rather not have immigrants or foreign workers as neighbors?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Would you rather not have people with AIDS as neighbors?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Would you rather not have drug addicts as neighbors?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Would you rather not have gay people as neighbors?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Would you say most people can be trusted or that you can never be too careful?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""All things considered, how satisfied are you with your life as a whole these days?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Some people feel they have completely free choice and control over their lives, while other people feel that what they do has no real effect on what happens to them. Please tell me whether you feel you have no choice and control at all over your life, a great deal of choice and control, or something in between.
"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Do you agree or disagree with the idea that when jobs are scarce, men should have more right to a job than women?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Do you agree or disagree with the idea that when jobs are scarce, employers should give priority to people of this country over immigrants?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Do you agree or disagree with the idea that being a housewife is just as fulfilling as working for pay?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""In political matters, people talk of “the left” and “the right.” How would you place your views on this scale, generally speaking?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Would you say that incomes should be made more equal, that there should be greater incentives for individual effort, or something in between?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Would you say that businesses should be privately owned, publicly owned, or something in between?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Would you say that the government should take more responsibility to ensure that everyone is provided for, that people should take more responsibility to provide for themselves, or something in between?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Would you say that competition is good, it is harmful, or something in between?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""How much confidence do you have in churches?
"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""How much confidence do you have in the armed forces?
"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""How much confidence do you have in the press?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""How much confidence do you have in unions?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""How much confidence do you have in the police?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""How much confidence do you have in parliament/congress?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""How much confidence do you have in civil services?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""How much confidence do you have in television?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""How much confidence do you have in the government?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""How much confidence do you have in political parties?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""How much confidence do you have in major companies?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""How much confidence do you have in justice courts?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""How often do you attend religious services?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Would you say you are religious, not religious, or an atheist?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Do you believe in God?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Do you believe in Hell?"" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether God is very important in your life, not important at all in your life, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether you think claiming government benefits that you are not entitled to can always be justified, never be justified, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether you think avoiding a fare in public transportation can always be justified, never be justified, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether you think cheating on your taxes if you have a chance can always be justified, never be justified, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether you think accepting a bribe on the course of your duties can always be justified, never be justified, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether you think homosexuality can always be justified, never be justified, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether you think prostitution can always be justified, never be justified, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether you think abortion can always be justified, never be justified, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether you think divorce can always be justified, never be justified, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether you think euthanasia can always be justified, never be justified, or something in between."" - 1","How difficult would most people in your country find it to discuss the question:  

 
""Please tell me whether you think suicide always be justified, never be justified, or something in between."" - 1","What is the result of the following operation:
5 - 3","What is the result of the following operation:
4 + 1","What is the result of the following operation:
6 - 5","How difficult would most people in your country find it to discuss the question:  

 
""How proud are you to be of the nationality of this country?""","Thank you for your participation. We would like to tell you about the purpose of the study you have just completed. 
As stated in the informed consent, this study was designed to examine how difficult people in different countries find it to discuss certain questions. Specifically, we took questions that have been asked for several years in the World Values Survey ( https://www.worldvaluessurvey.org/wvs.jsp ) and asked you to tell us how most of your compatriots would feel about discussing them. We wanted to examine how sensitive these questions might be across different national contexts. 
Thank you again for your time and participation. If you have any questions regarding this study, please contact us at sensitivityaroundtheglobe@gmail.com
Is there any feedback you want to give us?",random_id,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID61""}","{""ImportId"":""QID63""}","{""ImportId"":""QID60""}","{""ImportId"":""QID2""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""random_id""}","{""ImportId"":""PROLIFIC_PID""}"
2024-01-23 09:52:21,2024-01-23 09:59:57,IP Address,83.251.227.84,100,455,True,2024-01-23 09:59:58,R_1Q9OOXExjajvuyO,,,,,59.3098,17.9796,anonymous,SV,Understood,I agree to participate,,Understood,659c29ab1bc3f38c24290ce8,3,3,7,9,2,10,3,8,4,10,10,4,9,4,3,4,10,8,7,8,7,4,6,3,7,6,4,3,4,4,3,2,3,3,3,7,10,7,8,9,9,3,4,7,9,8,6,8,3,3,7,2,5,1,3,,42704,659c29ab1bc3f38c24290ce8
2024-01-23 09:58:37,2024-01-23 10:06:14,IP Address,94.191.137.167,100,456,True,2024-01-23 10:06:14,R_1ziiRqMPjcc3V97,,,,,59.3647,16.514,anonymous,EN,Understood,I agree to participate,,Understood,659568d99fa568bbc8089374,2,1,1,4,1,4,2,6,4,7,5,4,6,3,6,2,8,7,5,4,4,1,2,2,4,1,2,3,2,2,3,2,3,3,3,1,2,2,4,4,4,3,4,3,4,7,7,8,3,6,7,2,5,1,1,,48560,659568d99fa568bbc8089374
2024-01-23 09:55:06,2024-01-23 10:08:56,IP Address,85.225.98.195,100,829,True,2024-01-23 10:08:57,R_2tyv0OOyp9jFGaI,,,,,59.2928,15.1918,anonymous,SV,Understood,I agree to participate,,Understood,65957f327a417f99186dc17d,4,4,4,7,4,4,8,3,7,4,3,6,2,3,6,4,3,4,6,7,2,5,4,5,8,3,4,3,2,8,4,7,2,3,8,3,4,4,4,7,5,4,7,6,1,4,6,6,7,6,4,2,5,1,2,inga just nu,10535,65957f327a417f99186dc17d
2024-01-23 09:55:24,2024-01-23 10:09:55,IP Address,2.249.150.94,100,870,True,2024-01-23 10:09:55,R_7KpZQyNr0mwOHjb,,,,,56.6169,14.3197,anonymous,EN,Understood,I agree to participate,,Understood,659ab8017fa14c73800c7906,3,3,2,8,2,7,3,8,5,8,5,7,5,2,5,4,3,8,4,8,5,3,3,2,7,5,5,5,6,3,5,2,5,7,1,6,7,7,7,7,7,8,6,6,5,2,4,1,3,6,5,2,5,1,5,,34060,659ab8017fa14c73800c7906
2024-01-23 10:02:51,2024-01-23 10:10:36,IP Address,87.96.161.253,100,465,True,2024-01-23 10:10:36,R_5Vax8K4CBqWaW3A,,,,,59.3247,18.056,anonymous,SV,Understood,I agree to participate,,Understood,658d28132568a34a66adc245,2,2,1,7,1,1,1,2,4,7,1,7,1,4,6,4,3,8,6,9,5,7,7,6,2,6,4,1,4,6,8,4,6,7,3,4,1,1,1,2,1,3,6,4,2,2,4,2,1,8,9,2,5,1,4,,20588,658d28132568a34a66adc245
2024-01-23 10:02:13,2024-01-23 10:10:38,IP Address,95.194.204.143,100,504,True,2024-01-23 10:10:38,R_4ElQfOfHvgKn9No,,,,,57.7165,11.9708,anonymous,SV,Understood,I agree to participate,,Understood,5806957b3c163200010bce61,1,1,1,7,1,1,1,2,2,2,1,2,1,2,3,3,2,3,2,4,2,1,3,3,1,5,4,2,2,2,2,1,1,1,2,3,1,1,3,2,3,3,3,2,6,1,5,2,10,9,8,2,5,1,1,,16505,5806957b3c163200010bce61
2024-01-23 10:04:58,2024-01-23 10:14:18,IP Address,194.132.238.135,100,560,True,2024-01-23 10:14:19,R_44paZkvnn7Af81J,,,,,59.6146,16.5528,anonymous,SV,Understood,I agree to participate,,Understood,65a2d049cdc09dd3ed28fb2d,3,2,1,4,3,1,2,10,3,10,10,6,10,2,9,7,9,10,6,9,2,3,1,2,1,1,1,1,5,1,6,1,1,1,1,1,1,1,1,1,1,3,2,10,3,9,7,1,1,8,8,2,5,1,6,,21292,65a2d049cdc09dd3ed28fb2d
2024-01-23 09:57:50,2024-01-23 10:14:43,IP Address,84.216.186.210,100,1012,True,2024-01-23 10:14:43,R_6Y4i6uQNOvTMeeE,,,,,59.3241,18.0517,anonymous,EN,Understood,I agree to participate,,Understood,65823330d2f32e732f3139f0,1,1,1,7,1,1,8,10,1,10,10,6,10,2,9,6,3,1,1,10,9,6,5,1,2,2,8,9,9,4,9,2,8,2,4,7,1,1,1,1,2,10,1,6,10,9,9,8,9,6,9,2,5,1,2,no,80834,65823330d2f32e732f3139f0
