variable_name,variable_label,max_waves,ALB,AND,ARG,ARM,AUS,AZE,BFA,BGD,BGR,BIH,BLR,BOL,BRA,CAN,CHE,CHL,CHN,COL,CYP,CZE,DEU,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GRC,GTM,HKG,HRV,HTI,HUN,IDN,IND,IRN,IRQ,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LBN,LBY,LTU,LVA,MAC,MAR,MDA,MDV,MEX,MKD,MLI,MMR,MNE,MNG,MYS,NGA,NIC,NIR,NLD,NOR,NZL,PAK,PER,PHL,POL,PRI,PSE,QAT,ROU,RUS,RWA,SAU,SGP,SLV,SRB,SVK,SVN,SWE,THA,TJK,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,ZAF,ZMB,ZWE
S003,ISO 3166-1 numeric country code,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
COW_NUM,CoW country code numeric,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
COW_ALPHA,CoW country code alpha,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
S004,Set,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0
S006,Original respondent number,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
S007,Unified respondent number,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
S008,Interviewer number,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1
mode,Mode of data collection,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
S010,Total length of interview,4,2,1,4,2,0,1,0,3,1,2,1,1,2,1,2,4,4,1,1,2,1,1,1,1,1,3,1,1,1,0,1,1,0,1,0,1,1,0,0,1,2,1,2,0,0,2,2,1,1,2,2,0,1,1,1,1,1,2,1,1,3,2,0,1,2,1,0,4,1,1,0,1,0,2,2,2,1,3,0,0,2,2,0,1,1,0,3,3,1,2,1,1,0,1,1,2,0,1,2,2,3,0,3,2,0,1,0,2
S011A,Time of the interview - Start,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1
S011B,Time at the end of interview,4,1,1,3,1,0,0,0,3,0,1,0,1,0,2,1,4,2,1,1,1,1,1,0,1,1,3,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,2,1,0,1,1,0,0,1,2,0,1,3,1,0,1,1,1,0,3,1,1,0,0,0,1,2,2,1,2,0,0,1,1,0,0,2,0,2,1,0,2,1,1,0,1,2,2,0,1,1,2,3,0,2,2,0,2,0,2
S012,Date interview,4,0,1,2,2,1,1,0,1,0,0,0,1,2,2,0,2,3,1,2,1,1,0,0,1,2,1,0,1,0,0,1,1,1,1,1,1,0,0,0,2,0,1,4,0,0,1,1,2,1,1,1,0,1,2,0,0,1,2,0,1,1,0,0,1,0,1,1,2,1,1,2,0,2,2,2,2,0,1,1,1,2,1,1,0,0,0,1,1,1,0,2,1,2,2,2,1,0,0,1,2,3,0,1,1,1,0,0,2
S013,Respondent interested during the interview,6,2,2,6,3,4,2,1,3,2,2,2,1,5,3,1,6,6,3,3,3,4,1,2,2,4,5,2,2,2,1,2,3,2,1,2,2,1,1,2,3,5,3,4,0,1,4,6,2,1,3,4,1,2,2,1,1,1,4,3,1,6,2,1,1,2,1,3,5,1,1,1,2,0,3,5,4,3,3,1,1,4,5,2,1,3,1,4,3,3,3,3,1,1,2,6,4,0,1,4,4,4,1,3,3,1,5,1,3
S013B,Interview privacy,2,0,1,2,2,0,1,0,1,0,0,1,1,2,0,0,2,2,2,2,1,2,0,1,2,2,0,1,1,0,0,1,1,1,1,1,2,0,1,0,1,1,1,2,0,0,2,1,2,1,2,2,1,2,2,0,0,1,2,0,1,2,0,0,1,0,1,2,2,1,1,1,0,0,2,2,2,1,1,1,1,2,2,1,0,1,0,1,1,1,1,2,1,0,2,2,2,0,0,2,2,1,1,1,1,1,1,0,2
S016,Language of the interview (WVS/EVS list of languages),5,1,2,4,2,4,1,1,3,1,1,1,1,4,3,3,5,4,4,3,1,3,0,2,2,4,4,1,2,1,1,2,2,2,1,2,2,0,1,1,3,4,2,3,1,1,3,5,2,1,3,4,1,2,2,0,0,1,4,2,1,5,1,1,1,1,1,3,4,1,1,3,2,2,4,5,4,2,2,1,1,3,3,2,1,3,0,3,1,2,3,3,1,2,2,4,4,0,1,3,4,5,1,3,3,1,3,1,3
S016B,Language in which interview was conducted,5,1,2,4,2,4,1,1,3,1,1,1,1,4,3,3,5,4,4,3,1,3,0,2,2,4,4,1,2,1,1,2,2,2,1,2,2,0,1,1,3,4,2,3,1,1,3,5,2,1,3,4,1,2,2,0,0,1,4,2,1,5,1,1,1,1,1,3,4,1,1,3,2,2,4,5,4,2,2,1,1,3,3,2,1,3,0,3,1,2,3,3,1,2,2,4,4,0,1,3,4,5,1,3,3,1,3,1,3
S017,Weight,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
